id;Period;Data_value;Series_title_2
266;2009.02;1940.4;Credit
267;2009.03;2082.9;Credit
268;2009.04;1902.6;Credit
269;2009.05;1906.3;Credit
270;2009.06;1806.2;Credit
271;2009.07;1957.7;Credit
272;2009.08;1897.7;Credit
273;2009.09;1896.5;Credit
274;2009.10;1999.7;Credit
275;2009.11;2089.6;Credit
276;2009.12;2525.8;Credit
277;2010.01;2004.7;Credit
278;2010.02;1970.3;Credit
279;2010.03;2178.6;Credit
280;2010.04;1942.4;Credit
281;2010.05;1950.2;Credit
282;2010.06;1868.3;Credit
283;2010.07;1978.6;Credit
284;2010.08;1931.9;Credit
285;2010.09;1968.1;Credit
286;2010.10;2017.9;Credit
287;2010.11;2202.3;Credit
288;2010.12;2620.1;Credit
289;2011.01;2080.9;Credit
290;2011.02;2061.4;Credit
291;2011.03;2229.5;Credit
292;2011.04;2069.2;Credit
293;2011.05;2062.6;Credit
294;2011.06;1966.6;Credit
295;2011.07;2091;Credit
296;2011.08;2054.8;Credit
297;2011.09;2070.3;Credit
298;2011.10;2200.1;Credit
299;2011.11;2331.5;Credit
300;2011.12;2771.2;Credit
301;2012.01;2209.4;Credit
302;2012.02;2230;Credit
303;2012.03;2354.6;Credit
304;2012.04;2112.1;Credit
305;2012.05;2188.9;Credit
306;2012.06;2076.8;Credit
307;2012.07;2136.6;Credit
308;2012.08;2186.6;Credit
309;2012.09;2136.8;Credit
310;2012.10;2292.7;Credit
311;2012.11;2451.3;Credit
312;2012.12;2855.8;Credit
313;2013.01;2333.8;Credit
314;2013.02;2290.5;Credit
315;2013.03;2442;Credit
316;2013.04;2306.3;Credit
317;2013.05;2352.4;Credit
318;2013.06;2221;Credit
319;2013.07;2375.1;Credit
320;2013.08;2369.5;Credit
321;2013.09;2288.2;Credit
322;2013.10;2502.5;Credit
323;2013.11;2654.4;Credit
324;2013.12;3100.6;Credit
325;2014.01;2563.1;Credit
326;2014.02;2478.4;Credit
327;2014.03;2628.6;Credit
328;2014.04;2430.7;Credit
329;2014.05;2524.8;Credit
330;2014.06;2363.6;Credit
331;2014.07;2499;Credit
332;2014.08;2462.8;Credit
333;2014.09;2445.3;Credit
334;2014.10;2682.3;Credit
335;2014.11;2779.1;Credit
336;2014.12;3288.7;Credit
337;2015.01;2692;Credit
338;2015.02;2616.8;Credit
339;2015.03;2822.6;Credit
340;2015.04;2572.2;Credit
341;2015.05;2683.1;Credit
342;2015.06;2595.7;Credit
343;2015.07;2774.3;Credit
344;2015.08;2700.9;Credit
345;2015.09;2693;Credit
346;2015.10;2926.3;Credit
347;2015.11;3050.5;Credit
348;2015.12;3629.9;Credit
349;2016.01;2975.5;Credit
350;2016.02;2982.9;Credit
351;2016.03;3097.3;Credit
352;2016.04;2933.4;Credit
353;2016.05;2937.2;Credit
354;2016.06;2855;Credit
355;2016.07;2998.1;Credit
356;2016.08;2948.8;Credit
357;2016.09;3004.3;Credit
358;2016.10;3210.7;Credit
359;2016.11;3366.1;Credit
360;2016.12;4017;Credit
361;2017.01;3614.6;Credit
362;2017.02;3487.9;Credit
363;2017.03;3818.5;Credit
364;2017.04;3477.2;Credit
365;2017.05;3597.6;Credit
366;2017.06;3462.5;Credit
367;2017.07;3563.7;Credit
368;2017.08;3594;Credit
369;2017.09;3554;Credit
370;2017.10;3815.2;Credit
371;2017.11;4100.6;Credit
372;2017.12;4727;Credit
373;2018.01;4037.6;Credit
374;2018.02;3888.3;Credit
375;2018.03;4248;Credit
376;2018.04;3830.5;Credit
377;2018.05;3978.5;Credit
378;2018.06;3835.2;Credit
379;2018.07;3944.4;Credit
380;2018.08;4024.5;Credit
381;2018.09;3961.2;Credit
382;2018.10;4296;Credit
383;2018.11;4496.4;Credit
384;2018.12;5002.4;Credit
385;2019.01;4350.1;Credit
386;2019.02;4135.8;Credit
387;2019.03;4447.2;Credit
388;2019.04;4143.2;Credit
389;2019.05;4230.3;Credit
390;2019.06;4004.2;Credit
391;2019.07;4150.2;Credit
392;2019.08;4229.3;Credit
393;2019.09;4123.2;Credit
394;2019.10;4450.3;Credit
395;2019.11;4747.5;Credit
396;2019.12;5266.5;Credit
397;2020.01;4584.2;Credit
398;2020.02;4475.2;Credit
399;2020.03;4266.7;Credit
400;2020.04;2487.9;Credit
401;2020.05;4292.8;Credit
402;2020.06;4627.9;Credit
403;2020.07;4797.2;Credit
404;2020.08;4472.1;Credit
405;2020.09;4693.8;Credit
406;2020.10;5073.8;Credit
407;2020.11;5111;Credit
408;2020.12;5803.5;Credit
409;2021.01;4807.1;Credit
410;2021.02;4419.8;Credit
411;2021.03;4931.7;Credit
412;2021.04;4864.7;Credit
413;2021.05;5078.4;Credit
414;2021.06;4985.5;Credit
415;2021.07;5360.7;Credit
416;2021.08;4246.3;Credit
417;2021.09;4351.8;Credit
418;2021.10;5041;Credit
419;2021.11;5638.6;Credit
420;2021.12;6511;Credit
421;2022.01;5441.5;Credit
422;2022.02;4805.5;Credit
423;2022.03;5371.7;Credit
424;2022.04;5393.3;Credit
425;2022.05;5648.3;Credit
426;2022.06;5506.8;Credit
427;2022.07;5677.8;Credit
428;2022.08;5677.4;Credit
429;2022.09;5758.2;Credit
430;2022.10;6086.1;Credit
431;2022.11;6275.9;Credit
432;2022.12;7018.3;Credit
433;2000.01;;Debit
434;2000.02;;Debit
435;2000.03;;Debit
436;2000.04;;Debit
437;2000.05;;Debit
438;2000.06;;Debit
439;2000.07;;Debit
440;2000.08;;Debit
441;2000.09;;Debit
442;2000.10;;Debit
443;2000.11;;Debit
444;2000.12;;Debit
445;2001.01;;Debit
446;2001.02;;Debit
447;2001.03;;Debit
448;2001.04;;Debit
449;2001.05;;Debit
450;2001.06;;Debit
451;2001.07;;Debit
452;2001.08;;Debit
453;2001.09;;Debit
454;2001.10;;Debit
455;2001.11;;Debit
456;2001.12;;Debit
457;2002.01;;Debit
458;2002.02;;Debit
459;2002.03;;Debit
460;2002.04;;Debit
461;2002.05;;Debit
462;2002.06;;Debit
463;2002.07;;Debit
464;2002.08;;Debit
465;2002.09;;Debit
